  b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
a
0;-1;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;
1;32;35;40;39;32;47;45;38;51;51;48;40;48;36;44;42;38;30;48;40;53;53;40;48;30;38;42;44;36;48;40;48;51;51;38;45;47;32;39;40;35;
2;52;39;36;36;54;44;37;49;46;48;44;46;36;52;44;33;40;31;42;33;45;45;33;42;31;40;33;44;52;36;46;44;48;46;49;37;44;54;36;36;39;
3;34;48;42;48;50;44;40;47;41;39;33;30;34;52;42;49;37;32;-1;48;45;45;48;-1;32;37;49;42;52;34;30;33;39;41;47;40;44;50;48;42;48;
4;32;47;48;42;53;38;40;45;35;32;51;44;40;30;48;38;40;39;51;36;48;48;36;51;39;40;38;48;30;40;44;51;32;35;45;40;38;53;42;48;47;
5;52;36;54;37;46;44;36;44;40;42;45;33;31;33;52;46;48;49;44;36;39;39;36;44;49;48;46;52;33;31;33;45;42;40;44;36;44;46;37;54;36;
6;50;44;50;-1;52;54;40;36;37;32;36;47;51;34;42;43;42;39;35;45;36;36;45;35;39;42;43;42;34;51;47;36;32;37;36;40;54;52;-1;50;44;
7;34;37;39;47;-1;42;42;30;44;45;50;34;52;48;48;40;33;49;48;32;41;41;32;48;49;33;40;48;48;52;34;50;45;44;30;42;42;-1;47;39;37;
8;52;44;44;33;45;40;46;37;39;54;48;44;33;31;36;49;36;36;46;52;42;42;52;46;36;36;49;36;31;33;44;48;54;39;37;46;40;45;33;44;44;
9;52;45;39;33;36;42;36;31;54;40;44;33;37;44;49;52;46;36;48;46;44;44;46;48;36;46;52;49;44;37;33;44;40;54;31;36;42;36;33;39;45;
10;32;48;53;40;35;51;40;48;40;51;48;36;39;38;30;44;32;45;38;42;47;47;42;38;45;32;44;30;38;39;36;48;51;40;48;40;51;35;40;53;48;
11;34;41;37;32;39;48;47;49;-1;33;42;40;42;48;30;48;44;52;45;34;50;50;34;45;52;44;48;30;48;42;40;42;33;-1;49;47;48;39;32;37;41;
12;34;44;33;49;45;37;30;40;48;50;39;42;48;32;34;47;42;48;41;52;-1;-1;52;41;48;42;47;34;32;48;42;39;50;48;40;30;37;45;49;33;44;
13;34;-1;44;52;33;41;49;48;45;42;37;47;30;34;40;32;48;48;50;42;39;39;42;50;48;48;32;40;34;30;47;37;42;45;48;49;41;33;52;44;-1;
14;50;42;32;36;35;50;42;47;54;36;52;51;34;-1;45;40;36;43;44;39;37;37;39;44;43;36;40;45;-1;34;51;52;36;54;47;42;50;35;36;32;42;
15;50;50;52;40;37;36;51;42;42;35;36;45;39;43;34;47;32;36;54;-1;44;44;-1;54;36;32;47;34;43;39;45;36;35;42;42;51;36;37;40;52;50;
16;32;38;51;38;48;40;44;40;47;53;32;48;36;39;40;45;48;42;35;30;51;51;30;35;42;48;45;40;39;36;48;32;53;47;40;44;40;48;38;51;38;
17;50;52;37;51;42;36;39;34;32;54;44;-1;36;47;43;45;35;42;36;40;50;50;40;36;42;35;45;43;47;36;-1;44;54;32;34;39;36;42;51;37;52;
18;32;48;47;36;48;51;42;39;53;40;38;38;40;48;45;30;35;40;32;44;51;51;44;32;40;35;30;45;48;40;38;38;40;53;39;42;51;48;36;47;48;
19;50;36;36;47;44;32;45;51;50;37;35;34;-1;36;39;42;52;40;42;43;54;54;43;42;40;52;42;39;36;-1;34;35;37;50;51;45;32;44;47;36;36;
20;52;44;45;46;39;48;33;36;36;46;42;52;36;49;31;44;54;37;40;33;44;44;33;40;37;54;44;31;49;36;52;42;46;36;36;33;48;39;46;45;44;
21;52;46;40;31;48;39;49;33;42;44;36;37;44;33;46;36;44;52;45;36;54;54;36;45;52;44;36;46;33;44;37;36;44;42;33;49;39;48;31;40;46;
22;50;37;42;39;32;44;36;43;35;36;50;40;42;45;47;-1;54;34;36;51;52;52;51;36;34;54;-1;47;45;42;40;50;36;35;43;36;44;32;39;42;37;
23;32;40;32;45;51;48;48;44;38;48;53;40;30;42;36;40;51;38;47;39;35;35;39;47;38;51;40;36;42;30;40;53;48;38;44;48;48;51;45;32;40;
24;50;54;36;43;36;42;47;40;44;52;32;42;45;39;51;36;50;-1;37;34;35;35;34;37;-1;50;36;51;39;45;42;32;52;44;40;47;42;36;43;36;54;
25;32;53;35;40;40;48;39;30;32;38;47;42;45;44;38;36;51;48;51;40;48;48;40;51;48;51;36;38;44;45;42;47;38;32;30;39;48;40;40;35;53;
26;50;35;54;34;36;37;43;-1;36;50;42;36;47;51;40;39;44;45;52;42;32;32;42;52;45;44;39;40;51;47;36;42;50;36;-1;43;37;36;34;54;35;
27;50;36;44;45;50;35;-1;39;52;42;54;43;40;42;36;34;37;51;32;47;36;36;47;32;51;37;34;36;42;40;43;54;42;52;39;-1;35;50;45;44;36;
28;34;42;50;40;41;33;34;42;37;-1;45;48;32;49;52;30;39;47;44;48;48;48;48;44;47;39;30;52;49;32;48;45;-1;37;42;34;33;41;40;50;42;
29;34;50;41;34;37;45;32;52;39;44;48;48;47;30;49;48;-1;42;33;40;42;42;40;33;42;-1;48;49;30;47;48;48;44;39;52;32;45;37;34;41;50;
30;34;33;45;30;48;39;48;34;42;41;-1;52;48;47;32;42;50;40;37;49;44;44;49;37;40;50;42;32;47;48;52;-1;41;42;34;48;39;48;30;45;33;
31;32;51;38;30;51;35;38;42;48;48;40;45;44;40;40;39;47;36;53;48;32;32;48;53;36;47;39;40;40;44;45;40;48;48;42;38;35;51;30;38;51;
32;52;40;48;49;42;36;44;46;44;45;54;36;52;36;33;37;44;33;39;31;46;46;31;39;33;44;37;33;36;52;36;54;45;44;46;44;36;42;49;48;40;
33;52;54;46;36;40;45;31;52;48;44;39;36;49;46;33;33;42;44;44;37;36;36;37;44;44;42;33;33;46;49;36;39;44;48;52;31;45;40;36;46;54;
34;34;45;48;48;42;-1;48;32;50;37;44;49;40;42;47;52;41;34;39;30;33;33;30;39;34;41;52;47;42;40;49;44;37;50;32;48;-1;42;48;48;45;
35;50;32;35;42;54;52;34;45;36;44;37;39;43;40;-1;51;36;47;50;36;42;42;36;50;47;36;51;-1;40;43;39;37;44;36;45;34;52;54;42;35;32;
36;52;42;44;52;44;46;33;36;45;36;40;49;46;36;37;31;39;33;54;44;48;48;44;54;33;39;31;37;36;46;49;40;36;45;36;33;46;44;52;44;42;
37;32;32;51;48;38;53;30;36;51;47;35;39;38;40;42;40;48;44;48;45;40;40;45;48;44;48;40;42;40;38;39;35;47;51;36;30;53;38;48;51;32;
38;34;39;-1;42;44;50;52;48;33;48;41;32;49;40;48;34;45;30;42;47;37;37;47;42;30;45;34;48;40;49;32;41;48;33;48;52;50;44;42;-1;39;
39;52;48;42;44;44;54;52;33;44;39;46;31;33;37;36;36;45;46;36;49;40;40;49;36;46;45;36;36;37;33;31;46;39;44;33;52;54;44;44;42;48;
40;32;51;48;44;47;32;36;40;48;35;51;30;42;45;39;48;53;40;40;38;38;38;38;40;40;53;48;39;45;42;30;51;35;48;40;36;32;47;44;48;51;
